return me the homepage of PVLDB . ||| select journal_0.homepage from journal as journal_0 where journal_0.name = " PVLDB " 
return me the keywords in PVLDB . ||| select keyword_0.keyword from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the keywords in the papers of " University of Michigan " . ||| select keyword_0.keyword from author as author_0, keyword as keyword_0, organization as organization_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me the papers of " H. V. Jagadish " containing keyword " User Study " . ||| select publication_0.title from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and keyword_0.keyword = " User Study " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me the papers in PVLDB containing keyword " Keyword search " . ||| select publication_0.title from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and keyword_0.keyword = " Keyword search " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the papers in VLDB conference containing keyword " Information Retrieval " . ||| select publication_0.title from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and keyword_0.keyword = " Information Retrieval " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the authors who have papers containing keyword " Relational Database " . ||| select author_0.name from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me all the organizations in Databases area . ||| select organization_0.name from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = " Databases " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did
return me all the organizations in Databases area located in " North America " . ||| select organization_0.name from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = " Databases " and organization_0.continent = " North America " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did
return me all the researchers in " University of Michigan " . ||| select author_0.name from author as author_0, organization as organization_0 where organization_0.name = " University of Michigan " and author_0.oid = organization_0.oid
return me all the researchers in Databases area in " University of Michigan " . ||| select author_0.name from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = " Databases " and organization_0.name = " University of Michigan " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did
return me all the papers in " University of Michigan " . ||| select publication_0.title from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid
return me all the papers after 2000 in " University of Michigan " . ||| select publication_0.title from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid
return me all the papers in VLDB conference in " University of Michigan " . ||| select publication_0.title from author as author_0, conference as conference_0, organization as organization_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me all the papers in PVLDB in " University of Michigan " . ||| select publication_0.title from author as author_0, journal as journal_0, organization as organization_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me all the papers in VLDB after 2000 in " University of Michigan " . ||| select publication_0.title from author as author_0, journal as journal_0, organization as organization_0, publication as publication_0, writes as writes_0 where journal_0.name = " VLDB " and organization_0.name = " University of Michigan " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me all the papers in PVLDB after 2000 in " University of Michigan " . ||| select publication_0.title from author as author_0, journal as journal_0, organization as organization_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and organization_0.name = " University of Michigan " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the paper in Databases area with more than 200 citations . ||| select publication_0.title from domain as domain_0, domain_publication as domain_publication_0, publication as publication_0 where domain_0.name = " Databases " and publication_0.citation_num > 200 and domain_0.did = domain_publication_0.did and domain_publication_0.pid = publication_0.pid
return me the paper in PVLDB with more than 200 citations . ||| select publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.citation_num > 200 and journal_0.jid = publication_0.jid
return me the paper in VLDB conference with more than 200 citations . ||| select publication_0.title from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.citation_num > 200 and conference_0.cid = publication_0.cid
return me the paper by " H. V. Jagadish " with more than 200 citations . ||| select publication_0.title from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and publication_0.citation_num > 200 and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the papers by " H. V. Jagadish " on PVLDB with more than 200 citations . ||| select publication_0.title from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and publication_0.citation_num > 200 and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the papers by " H. V. Jagadish " on VLDB conference with more than 200 citations . ||| select publication_0.title from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and conference_0.name = " VLDB " and publication_0.citation_num > 200 and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the paper after 2000 with more than 200 citations . ||| select publication_0.title from publication as publication_0 where publication_0.citation_num > 200 and publication_0.year > 2000
return me the paper after 2000 in Databases area with more than 200 citations . ||| select publication_0.title from domain as domain_0, domain_publication as domain_publication_0, publication as publication_0 where domain_0.name = " Databases " and publication_0.citation_num > 200 and publication_0.year > 2000 and domain_0.did = domain_publication_0.did and domain_publication_0.pid = publication_0.pid
return me the paper after 2000 in PVLDB with more than 200 citations . ||| select publication_0.title from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.citation_num > 200 and publication_0.year > 2000 and journal_0.jid = publication_0.jid
return me the paper after 2000 in VLDB conference with more than 200 citations . ||| select publication_0.title from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.citation_num > 200 and publication_0.year > 2000 and conference_0.cid = publication_0.cid
return me the number of conferences which have papers by " H. V. Jagadish " . ||| select count ( distinct ( conference_0.name )  ) from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the number of journals which have papers by " H. V. Jagadish " . ||| select count ( distinct ( journal_0.name )  ) from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the number of papers written by " H. V. Jagadish " in each year . ||| select publication_0.year, count ( distinct ( publication_0.title )  ) from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid group by publication_0.year
return me the number of authors of " Making database systems usable " . ||| select count ( distinct ( author_0.name )  ) from author as author_0, publication as publication_0, writes as writes_0 where publication_0.title = " Making database systems usable " and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the number of citations of " Making database systems usable " in each year . ||| select sum ( publication_0.citation_num ) , publication_0.year from publication as publication_0 where publication_0.title = " Making database systems usable " group by publication_0.year
return me the number of citations of " Making database systems usable " before 2010 . ||| select count ( distinct ( publication_1.title )  ) from cite as cite_0, publication as publication_0, publication as publication_1 where publication_0.title = " Making database systems usable " and publication_1.year < 2010 and cite_0.cited = publication_0.pid and cite_0.citing = publication_1.pid
return me the number of papers by " H. V. Jagadish " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the number of papers on VLDB conference . ||| select count ( distinct ( publication_0.title )  ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid
return me the number of papers on PVLDB . ||| select count ( distinct ( publication_0.title )  ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid
return me the number of papers after 2000 . ||| select count ( distinct ( publication_0.title )  ) from publication as publication_0 where publication_0.year > 2000
return me the number of papers on PVLDB after 2000 . ||| select count ( distinct ( publication_0.title )  ) from journal as journal_0, publication as publication_0 where journal_0.name = " PVLDB " and publication_0.year > 2000 and journal_0.jid = publication_0.jid
return me the number of papers on VLDB conference after 2000 . ||| select count ( distinct ( publication_0.title )  ) from conference as conference_0, publication as publication_0 where conference_0.name = " VLDB " and publication_0.year > 2000 and conference_0.cid = publication_0.cid
return me the number of papers by " H. V. Jagadish " on PVLDB . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the number of papers by " H. V. Jagadish " on VLDB conference . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and conference_0.name = " VLDB " and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the number of papers by " H. V. Jagadish " after 2000 . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and publication_0.year > 2000 and author_0.aid = writes_0.aid and publication_0.pid = writes_0.pid
return me the number of papers by " H. V. Jagadish " on PVLDB after 2000 . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, journal as journal_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and journal_0.name = " PVLDB " and publication_0.year > 2000 and author_0.aid = writes_0.aid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
return me the number of papers by " H. V. Jagadish " on VLDB conference after 2000 . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, conference as conference_0, publication as publication_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and conference_0.name = " VLDB " and publication_0.year > 2000 and author_0.aid = writes_0.aid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the number of keywords . ||| select count ( distinct ( keyword_0.keyword )  ) from keyword as keyword_0
return me the number of keywords in Databases area . ||| select count ( distinct ( keyword_0.keyword )  ) from domain as domain_0, domain_keyword as domain_keyword_0, keyword as keyword_0 where domain_0.name = " Databases " and domain_0.did = domain_keyword_0.did and domain_keyword_0.kid = keyword_0.kid
return me the number of papers which contain the keyword " Natural Language " . ||| select count ( distinct ( publication_0.title )  ) from keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Natural Language " and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of the keywords of " Making database systems usable " . ||| select count ( distinct ( keyword_0.keyword )  ) from keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where publication_0.title = " Making database systems usable " and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of the keywords related to " H. V. Jagadish " . ||| select count ( distinct ( keyword_0.keyword )  ) from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid|select count ( distinct ( keyword_0.keyword )  ) from author as author_0, domain as domain_0, domain_author as domain_author_0, domain_keyword as domain_keyword_0, keyword as keyword_0 where author_0.name = " H. V. Jagadish " and author_0.aid = domain_author_0.aid and domain_0.did = domain_author_0.did and domain_0.did = domain_keyword_0.did and domain_keyword_0.kid = keyword_0.kid
return me the number of keywords in VLDB conference . ||| select count ( distinct ( keyword_0.keyword )  ) from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of keywords in PVLDB . ||| select count ( distinct ( keyword_0.keyword )  ) from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of keywords in the papers of " University of Michigan " . ||| select count ( distinct ( keyword_0.keyword )  ) from author as author_0, keyword as keyword_0, organization as organization_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me the number of the papers of " H. V. Jagadish " containing keyword " User Study " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where author_0.name = " H. V. Jagadish " and keyword_0.keyword = " User Study " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me the number of papers in PVLDB containing keyword " Keyword search " . ||| select count ( distinct ( publication_0.title )  ) from journal as journal_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where journal_0.name = " PVLDB " and keyword_0.keyword = " Keyword search " and journal_0.jid = publication_0.jid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of papers in VLDB conference containing keyword " Information Retrieval " . ||| select count ( distinct ( publication_0.title )  ) from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = " VLDB " and keyword_0.keyword = " Information Retrieval " and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of authors who have papers containing keyword " Relational Database " . ||| select count ( distinct ( author_0.name )  ) from author as author_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0, writes as writes_0 where keyword_0.keyword = " Relational Database " and author_0.aid = writes_0.aid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid and publication_0.pid = writes_0.pid
return me the total citations of the papers containing keyword " Natural Language " ||| select sum ( publication_0.citation_num ) from keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = " Natural Language " and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid
return me the number of the organizations . ||| select count ( distinct ( organization_0.name )  ) from organization as organization_0
return me the number of the organizations in " North America " . ||| select count ( distinct ( organization_0.name )  ) from organization as organization_0 where organization_0.continent = " North America " 
return me the number of organizations in Databases area . ||| select count ( distinct ( organization_0.name )  ) from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = " Databases " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did
return me the number of organizations in Databases area located in " North America " . ||| select count ( distinct ( organization_0.name )  ) from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = " Databases " and organization_0.continent = " North America " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did
return me the number of papers in " University of Michigan " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid
return me the number of papers in " University of Michigan " in Databases area . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, domain as domain_0, domain_author as domain_author_0, domain_publication as domain_publication_0, organization as organization_0, publication as publication_0 where domain_0.name = " Databases " and organization_0.name = " University of Michigan " and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did and domain_0.did = domain_publication_0.did and domain_publication_0.pid = publication_0.pid
return me the number of papers after 2000 in " University of Michigan " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = " University of Michigan " and publication_0.year > 2000 and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid
return me the number of papers in VLDB conference in " University of Michigan " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, conference as conference_0, organization as organization_0, publication as publication_0, writes as writes_0 where conference_0.name = " VLDB " and organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and conference_0.cid = publication_0.cid and publication_0.pid = writes_0.pid
return me the number of papers in PVLDB in " University of Michigan " . ||| select count ( distinct ( publication_0.title )  ) from author as author_0, journal as journal_0, organization as organization_0, publication as publication_0, writes as writes_0 where journal_0.name = " PVLDB " and organization_0.name = " University of Michigan " and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and journal_0.jid = publication_0.jid and publication_0.pid = writes_0.pid
