Difficulty:1 ||| What year is the movie " Dead Poets Society " from ? ||| select movie_0.release_year from movie as movie_0 where movie_0.title = " Dead Poets Society " ;
Difficulty:2 ||| Who acted " John Nash " in the movie " A Beautiful Mind " ? ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where cast_0.role = " John Nash " and movie_0.title = " A Beautiful Mind " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all movies written by " Matt Damon " ||| select movie_0.title from movie as movie_0, writer as writer_0, written_by as written_by_0 where writer_0.name = " Matt Damon " and movie_0.mid = written_by_0.msid and writer_0.wid = written_by_0.wid ;
Difficulty:2 ||| Find all movies written and produced by " Woody Allen " ||| select movie_0.title from made_by as made_by_0, movie as movie_0, producer as producer_0, writer as writer_0, written_by as written_by_0 where producer_0.name = " Woody Allen " and writer_0.name = " Woody Allen " and made_by_0.msid = movie_0.mid and made_by_0.pid = producer_0.pid and movie_0.mid = written_by_0.msid and writer_0.wid = written_by_0.wid ;
Difficulty:2 ||| Find all movies featuring " Kate Winslet " ||| select movie_0.title from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Kate Winslet " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| What was the budget of the movie Juno from 2007 ? ||| select movie_0.budget from movie as movie_0 where movie_0.release_year = 2007 and movie_0.title = " Juno " ;
Difficulty:2 ||| Find all comedies produced in year 2015 ||| select movie_0.title from classification as classification_0, genre as genre_0, movie as movie_0 where genre_0.genre = " comedies " and movie_0.release_year = 2015 and classification_0.gid = genre_0.gid and classification_0.msid = movie_0.mid ;
Difficulty:2 ||| Who was the actor that played " Vinny Gambini " in the movie " My Cousin Vinny " ? ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where cast_0.role = " Vinny Gambini " and movie_0.title = " My Cousin Vinny " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all actors born in " Los Angeles " after 1980 ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " Los Angeles " and actor_0.birth_year > 1980 ;
Difficulty:2 ||| Find all movies by directors born in " Los Angeles " ||| select movie_0.title from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.birth_city = " Los Angeles " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| What company produced the movie " Juno " ? ||| select company_0.name from company as company_0, copyright as copyright_0, movie as movie_0 where movie_0.title = " Juno " and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all movies that were produced by Netflix ||| select movie_0.title from company as company_0, copyright as copyright_0, movie as movie_0 where company_0.name = " Netflix " and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all actors who were born in " New York City " in 1984 ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " New York City " and actor_0.birth_year = 1984 ;
Difficulty:2 ||| Find all movies about Persians ||| select movie_0.title from keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " Persians " and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:2 ||| Who are the actors born in " New York City " after 1990 ? ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " New York City " and actor_0.birth_year > 1990 ;
Difficulty:2 ||| Find all movies produced by " Walt Disney " after 2010 ||| select movie_0.title from company as company_0, copyright as copyright_0, movie as movie_0 where company_0.name = " Walt Disney " and movie_0.release_year > 2010 and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid |select movie_0.title from made_by as made_by_0, movie as movie_0, producer as producer_0 where movie_0.release_year > 2010 and producer_0.name = " Walt Disney " and made_by_0.msid = movie_0.mid and made_by_0.pid = producer_0.pid ;
Difficulty:2 ||| Find all movies featuring " Benedict Cumberbatch " ||| select movie_0.title from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Benedict Cumberbatch " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Which movies did " Alfred Hitchcock " direct ? ||| select movie_0.title from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Alfred Hitchcock " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all movies about Autism ||| select movie_0.title from keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " Autism " and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:2 ||| Find all movies directed by " Woody Allen " and featuring " Scarlett Johansson " ||| select movie_0.title from actor as actor_0, cast as cast_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where actor_0.name = " Scarlett Johansson " and director_0.name = " Woody Allen " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| What are all the tv series created by " Shonda Rhimes " ? ||| select tv_series_0.title from made_by as made_by_0, producer as producer_0, tv_series as tv_series_0 where producer_0.name = " Shonda Rhimes " and made_by_0.msid = tv_series_0.sid and made_by_0.pid = producer_0.pid ;
Difficulty:2 ||| Who acts " Olivia Pope " in the series Scandal ? ||| select actor_0.name from actor as actor_0, cast as cast_0, tv_series as tv_series_0 where cast_0.role = " Olivia Pope " and tv_series_0.title = " Scandal " and actor_0.aid = cast_0.aid and cast_0.msid = tv_series_0.sid ;
Difficulty:2 ||| What are all the movies directed by " Quentin Tarantino " featuring " Christoph Waltz " ? ||| select movie_0.title from actor as actor_0, cast as cast_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where actor_0.name = " Christoph Waltz " and director_0.name = " Quentin Tarantino " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Who directed the movie " Inglourious Basterds " ? ||| select director_0.name from directed_by as directed_by_0, director as director_0, movie as movie_0 where movie_0.title = " Inglourious Basterds " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Who is the writer of the movie " Django Unchained " ||| select writer_0.name from movie as movie_0, writer as writer_0, written_by as written_by_0 where movie_0.title = " Django Unchained " and movie_0.mid = written_by_0.msid and writer_0.wid = written_by_0.wid ;
Difficulty:2 ||| What are the series featuring " Kerry Washington " ? ||| select tv_series_0.title from actor as actor_0, cast as cast_0, tv_series as tv_series_0 where actor_0.name = " Kerry Washington " and actor_0.aid = cast_0.aid and cast_0.msid = tv_series_0.sid ;
Difficulty:2 ||| What are all the movies featuring " Kerry Washington " ? ||| select movie_0.title from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Kerry Washington " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Find the directors of all movies featuring " Kate Winslet " ||| select director_0.name from actor as actor_0, cast as cast_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where actor_0.name = " Kate Winslet " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Find the producers of all movies in which " Kate Winslet " is an actor ||| select producer_0.name from actor as actor_0, cast as cast_0, made_by as made_by_0, movie as movie_0, producer as producer_0 where actor_0.name = " Kate Winslet " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and made_by_0.msid = movie_0.mid and made_by_0.pid = producer_0.pid ;
Difficulty:2 ||| What are the series in which " Scott Foley " is an actor ? ||| select tv_series_0.title from actor as actor_0, cast as cast_0, tv_series as tv_series_0 where actor_0.name = " Scott Foley " and actor_0.aid = cast_0.aid and cast_0.msid = tv_series_0.sid ;
Difficulty:2 ||| What company produced the series Scandal ? ||| select company_0.name from company as company_0, copyright as copyright_0, tv_series as tv_series_0 where tv_series_0.title = " Scandal " and company_0.id = copyright_0.cid and copyright_0.msid = tv_series_0.sid ;
Difficulty:2 ||| Find all tv series produced by Netflix ||| select tv_series_0.title from company as company_0, copyright as copyright_0, tv_series as tv_series_0 where company_0.name = " Netflix " and company_0.id = copyright_0.cid and copyright_0.msid = tv_series_0.sid ;
Difficulty:2 ||| Find all movies produced by Netflix ||| select movie_0.title from company as company_0, copyright as copyright_0, movie as movie_0 where company_0.name = " Netflix " and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all movies featuring " Kevin Spacey " ||| select movie_0.title from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Kevin Spacey " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Who is the director of the series " House of Cards " produced by Netflix ? ||| select director_0.name from company as company_0, copyright as copyright_0, directed_by as directed_by_0, director as director_0, tv_series as tv_series_0 where company_0.name = " Netflix " and tv_series_0.title = " House of Cards " and company_0.id = copyright_0.cid and copyright_0.msid = tv_series_0.sid and directed_by_0.did = director_0.did and directed_by_0.msid = tv_series_0.sid ;
Difficulty:2 ||| Who is the director of the tv series " House of Cards " from 2013 ? ||| select director_0.name from directed_by as directed_by_0, director as director_0, tv_series as tv_series_0 where tv_series_0.release_year = 2013 and tv_series_0.title = " House of Cards " and directed_by_0.did = director_0.did and directed_by_0.msid = tv_series_0.sid ;
Difficulty:2 ||| Find all movies in which " Robin Wright " appears ||| select movie_0.title from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Robin Wright " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all the female actors from Austin ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " Austin " and actor_0.gender = " female " ;
Difficulty:2 ||| Find all actors from Austin born after 1980 ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " Austin " and actor_0.birth_year > 1980 ;
Difficulty:2 ||| How many movies are there that are directed by " Steven Spielberg " and featuring " Matt Damon " ? ||| select movie_0.title from actor as actor_0, cast as cast_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where actor_0.name = " Matt Damon " and director_0.name = " Steven Spielberg " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all actors from Italy born after 1980 ||| select actor_0.name from actor as actor_0 where actor_0.birth_year > 1980 and actor_0.nationality = " Italy " ;
Difficulty:2 ||| Find all the female actors born in " New York City " after 1980 ||| select actor_0.name from actor as actor_0 where actor_0.birth_city = " New York City " and actor_0.birth_year > 1980 and actor_0.gender = " female " ;
Difficulty:2 ||| Find all the female actors in the movie " Saving Private Ryan " ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.gender = " female " and movie_0.title = " Saving Private Ryan " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Who acts as " Alan Turing " in the movie " The Imitation Game " ? ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where cast_0.role = " Alan Turing " and movie_0.title = " The Imitation Game " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Who is the actor playing " Alan Turing " in " The Imitation Game " ? ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where cast_0.role = " Alan Turing " and movie_0.title = " The Imitation Game " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| What year was the movie " The Imitation Game " produced ||| select movie_0.release_year from movie as movie_0 where movie_0.title = " The Imitation Game " ;
Difficulty:2 ||| Find all movies about Iraq war ||| select movie_0.title from keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " Iraq war " and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:2 ||| Find all the directors who are from Afghanistan ||| select director_0.name from director as director_0 where director_0.nationality = " Afghanistan " ;
Difficulty:2 ||| Give me the name of all the actors from Afghanistan ||| select actor_0.name from actor as actor_0 where actor_0.nationality = " Afghanistan " ;
Difficulty:2 ||| Who is the writer of " The Truman Show " ||| select writer_0.name from movie as movie_0, writer as writer_0, written_by as written_by_0 where movie_0.title = " The Truman Show " and movie_0.mid = written_by_0.msid and writer_0.wid = written_by_0.wid ;
Difficulty:2 ||| List all the Sci-Fi movies which released in 2010 ||| select movie_0.title from classification as classification_0, genre as genre_0, movie as movie_0 where genre_0.genre = " Sci-Fi " and movie_0.release_year = 2010 and classification_0.gid = genre_0.gid and classification_0.msid = movie_0.mid ;
Difficulty:2 ||| Find the actors who played in the movie " Camp X-Ray " ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where movie_0.title = " Camp X-Ray " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| Find all actors from Canada who acted in " James Bond " movies ||| select actor_0.name from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.nationality = " Canada " and movie_0.title = " James Bond " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| List " James Bond " directors ||| select director_0.name from directed_by as directed_by_0, director as director_0, movie as movie_0 where movie_0.title = " James Bond " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| find all films in which " Rowan Atkinson " acted as " Mr. Bean " ||| select movie_0.title from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Rowan Atkinson " and cast_0.role = " Mr. Bean " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| List all the movies directed by " Asghar Farhadi " in which " Taraneh Alidoosti " played ||| select movie_0.title from actor as actor_0, cast as cast_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where actor_0.name = " Taraneh Alidoosti " and director_0.name = " Asghar Farhadi " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| where is the director of " The Past " from ||| select director_0.birth_city from directed_by as directed_by_0, director as director_0, movie as movie_0 where movie_0.title = " The Past " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| who acted the role of " Mr. Bean " ||| select actor_0.name from actor as actor_0, cast as cast_0 where cast_0.role = " Mr. Bean " and actor_0.aid = cast_0.aid ;
Difficulty:2 ||| what are the genres of movies directed by " Asghar Farhadi " ||| select genre_0.genre from classification as classification_0, directed_by as directed_by_0, director as director_0, genre as genre_0, movie as movie_0 where director_0.name = " Asghar Farhadi " and classification_0.gid = genre_0.gid and classification_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| Which movie had the character " Daffy Duck " ||| select movie_0.title from cast as cast_0, movie as movie_0 where cast_0.role = " Daffy Duck " and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| which company funded the " Mickey Mouse " series ||| select company_0.name from company as company_0, copyright as copyright_0, tv_series as tv_series_0 where tv_series_0.title = " Mickey Mouse " and company_0.id = copyright_0.cid and copyright_0.msid = tv_series_0.sid ;
Difficulty:2 ||| What are the major roles in the movie " Daddy Long Legs " ||| select cast_0.role from actor as actor_0, cast as cast_0, movie as movie_0 where movie_0.title = " Daddy Long Legs " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:2 ||| List all male directors who worked with the " NBCUniversal " company ||| select director_0.name from company as company_0, copyright as copyright_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where company_0.name = " NBCUniversal " and director_0.gender = " male " and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:2 ||| What are the movies related to nuclear weapons ||| select movie_0.title from keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " nuclear weapons " and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:2 ||| List all the directors of movies about nuclear weapons ||| select director_0.name from directed_by as directed_by_0, director as director_0, keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " nuclear weapons " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:3 ||| What is the number of movies in which " Jennifer Aniston " acted after 2010 ? ||| select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Jennifer Aniston " and movie_0.release_year > 2010 and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| What is the number of actors in the movie " Grumpier Old Men " ? ||| select count(distinct(actor_0.name)) from actor as actor_0, cast as cast_0, movie as movie_0 where movie_0.title = " Grumpier Old Men " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did " Alfred Hitchcock " direct ? ||| select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Alfred Hitchcock " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies were produced in the year 2012 ? ||| select count(distinct(movie_0.title)) from movie as movie_0 where movie_0.release_year = 2012 ;
Difficulty:3 ||| What is the number of movies directed by " Woody Allen " per year ? ||| select count(distinct(movie_0.title)), movie_0.release_year from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Woody Allen " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid group by movie_0.release_year ;
Difficulty:3 ||| What is the number of movies produced in 2013 ? ||| select count(distinct(movie_0.title)) from movie as movie_0 where movie_0.release_year = 2013 ;
Difficulty:3 ||| How many movies did " Ronald Reagan " act in ? ||| select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Ronald Reagan " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| How many actors were born in " Los Angeles " after 2000 ? ||| select count(distinct(actor_0.name)) from actor as actor_0 where actor_0.birth_city = " Los Angeles " and actor_0.birth_year > 2000 ;
Difficulty:3 ||| How many movies did " Humphrey Bogart " act in before 1942 ? ||| select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Humphrey Bogart " and movie_0.release_year < 1942 and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| What is the number of movies that " Brad Pitt " acts in per year ? ||| select movie_0.release_year, count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Brad Pitt " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid group by movie_0.release_year ;
Difficulty:3 ||| What is the number of movies in which " Tom Cruise " acted ? ||| select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Tom Cruise " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies about Iraq war were produced in 2015 ? ||| select count(distinct(movie_0.title)) from keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " Iraq war " and movie_0.release_year = 2015 and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:3 ||| How many movies about Persians were released after 1990 ? ||| select count(distinct(movie_0.title)) from keyword as keyword_0, movie as movie_0, tags as tags_0 where keyword_0.keyword = " Persians " and movie_0.release_year > 1990 and keyword_0.id = tags_0.kid and movie_0.mid = tags_0.msid ;
Difficulty:3 ||| How many movies did " Matt Damon " direct ? ||| select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Matt Damon " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did " Quentin Tarantino " direct after 2010 ? ||| select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Quentin Tarantino " and movie_0.release_year > 2010 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did " Quentin Tarantino " direct before 2010 ? ||| select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Quentin Tarantino " and movie_0.release_year < 2010 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did " Quentin Tarantino " direct before 2002 and after 2010 ? ||| select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, made_by as made_by_0, movie as movie_0, producer as producer_0 where director_0.name = " Quentin Tarantino " and movie_0.release_year < 2002 and movie_0.release_year > 2010 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid and made_by_0.msid = movie_0.mid and made_by_0.pid = producer_0.pid |select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, made_by as made_by_0, movie as movie_0, producer as producer_0 where director_0.name = " Quentin Tarantino " and movie_0.release_year > 2010 and movie_0.release_year < 2002 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid and made_by_0.msid = movie_0.mid and made_by_0.pid = producer_0.pid ;
Difficulty:3 ||| What is the number of movies featuring " Brad Pitt " ? ||| select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Brad Pitt " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did " Steven Spielberg " direct ? ||| select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = " Steven Spielberg " and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did Netflix produce ? ||| select count(distinct(movie_0.title)) from company as company_0, copyright as copyright_0, movie as movie_0 where company_0.name = " Netflix " and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid ;
Difficulty:3 ||| How many female actors were born in " New York City " after 1980 ? ||| select count(distinct(actor_0.name)) from actor as actor_0 where actor_0.birth_city = " New York City " and actor_0.birth_year > 1980 and actor_0.gender = " female " ;
Difficulty:3 ||| How many actors are in the movie " Saving Private Ryan " ? ||| select count(distinct(actor_0.name)) from actor as actor_0, cast as cast_0, movie as movie_0 where movie_0.title = " Saving Private Ryan " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| How many movies did " Shahab Hosseini " act in ||| select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = " Shahab Hosseini " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;
Difficulty:3 ||| find the number of actors from Iran who played in " Jim Jarmusch " movies ||| select count(distinct(actor_0.name)) from actor as actor_0, cast as cast_0, directed_by as directed_by_0, director as director_0, movie as movie_0 where actor_0.nationality = " Iran " and director_0.name = " Jim Jarmusch " and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;
